Position,Year,Average rating,Count

1,1996,8.08,40
2,1995,8.22,38
3,1994,8.52,33
4,2007,8.11,32
5,1999,8.30,26
6,1998,8.17,26
7,1993,8.29,25
8,1997,8.26,23
9,2009,8.17,22
10,2004,8.14,22
11,2002,8.35,21
12,2001,8.27,20
13,1992,8.25,20
14,2014,8.19,20
15,2008,8.28,19
16,2000,8.22,19
17,2010,8.23,18
18,2003,8.16,18
19,2006,8.27,16
20,1991,8.35,15
21,2012,8.23,15
22,1986,8.13,14
23,1987,8.12,14
24,1989,8.08,14
25,1988,8.15,13
26,2013,8.12,13
27,1985,8.19,12
28,2005,8.16,12
29,1990,8.50,11
30,1975,8.25,11
31,2011,8.18,10
32,2015,8.17,10
33,1957,8.29,9
34,1976,8.15,9
35,1980,8.41,8
36,1954,8.34,8
37,1984,8.14,8
38,1982,8.07,8
39,1972,8.63,7
40,1960,8.29,7
41,1962,8.26,7
42,1966,8.25,7
43,1967,8.03,7
44,1971,8.30,6
45,1968,8.26,6
46,1979,8.21,6
47,1946,8.19,6
48,1959,8.19,6
49,1983,8.13,6
50,1940,8.12,6
51,1973,8.11,6
52,1963,8.09,6
53,1951,8.03,6
54,1981,8.49,5
55,1974,8.43,5
56,1977,8.41,5
57,1964,8.38,5
58,1950,8.30,5
59,1948,8.20,5
60,1952,8.16,5
61,1939,8.13,5
62,1978,8.13,5
63,1961,8.08,5
64,1955,8.05,5
65,1953,8.01,5
66,1942,8.58,4
67,1944,8.17,4
68,1965,8.16,4
69,2016,8.13,4
70,1969,8.03,4
71,1956,7.99,4
72,1970,7.97,4
73,1941,8.38,3
74,1931,8.34,3
75,1958,8.31,3
76,1949,8.22,3
77,1925,8.06,3
78,1945,7.98,3
79,1938,7.96,3
80,1935,7.86,3
81,1936,8.36,2
82,1927,8.19,2
83,1934,8.08,2
84,1943,7.98,2
85,1933,7.97,2
86,1947,7.94,2
87,1937,7.88,2
88,1921,8.17,1
89,1926,8.16,1
90,1923,8.00,1
91,1924,8.00,1
92,1920,7.97,1
93,1930,7.96,1
94,1922,7.95,1
95,1928,7.94,1
96,1929,7.60,1
