Position,Change,Title,Rating,Votes,Year
""
1,-, The Shawshank Redemption,9.2,1716769,1994
2,-, The Godfather,9.2,1173462,1972
3,-, The Godfather: Part II,9.0,804052,1974
4,-, The Dark Knight,8.9,1703056,2008
5,-,12 Angry Men ,8.9,456977,1957
6,-,Schindler's List ,8.9,879109,1993
7,-,Pulp Fiction ,8.9,1345064,1994
8,-, The Lord of the Rings: The Return of the King,8.9,1233686,2003
9,-, Il  il cattivo. il bruttoBuono,8.9,511073,1966
10,-,Fight Club ,8.8,1370138,1999
11,-, The Lord of the Rings: The Fellowship of the Ring,8.8,1256361,2001
12,-,Star Wars: Episode V - The Empire Strikes Back ,8.7,851538,1980
13,-,Forrest Gump ,8.7,1274725,1994
14,-,Inception ,8.7,1493615,2010
15,-, The Lord of the Rings: The Two Towers,8.7,1117058,2002
16,-,One Flew Over the Cuckoo's Nest ,8.7,689852,1975
17,-,Goodfellas ,8.7,740402,1990
18,-, The Matrix,8.7,1236578,1999
19,-,Shichinin no samurai ,8.6,232703,1954
20,-,Star Wars ,8.6,924653,1977
21,-,Cidade de Deus ,8.6,540915,2002
22,-,Se7en ,8.6,1041648,1995
23,-, The Silence of the Lambs,8.6,903192,1991
24,-,It's a Wonderful Life ,8.6,279886,1946
25,-, The Usual Suspects,8.6,752441,1995
26,-, La Vita Ã¨ bella,8.6,428602,1997
27,-,LÃ©on ,8.5,738402,1994
28,-,Sen to Chihiro no kamikakushi ,8.5,427200,2001
29,-,Saving Private Ryan ,8.5,896478,1998
30,-,C'era una volta il West ,8.5,219514,1968
31,-,American History X ,8.5,794471,1998
32,-,Interstellar ,8.5,954741,2014
33,-,Casablanca ,8.5,392835,1942
34,-,Psycho ,8.5,429697,1960
35,-,City Lights ,8.5,110509,1931
36,-,Raiders of the Lost Ark ,8.5,670367,1981
37,-, The Green Mile,8.5,799193,1999
38,-,Intouchables ,8.5,515464,2011
39,-,Modern Times ,8.5,146114,1936
40,-,Rear Window ,8.5,321300,1954
41,-,Terminator 2: Judgment Day ,8.5,755808,1991
42,-, The Departed,8.5,887925,2006
43,-, The Pianist,8.5,508423,2002
44,-,Back to the Future ,8.5,745209,1985
45,-,Whiplash ,8.5,416288,2014
46,-,Gladiator ,8.5,998244,2000
47,-,Memento ,8.5,859370,2000
48,-,Apocalypse Now ,8.5,456871,1979
49,-, The Prestige,8.5,859296,2006
50,-, The Lion King,8.5,656917,1994
51,-,Alien ,8.4,573044,1979
52,-,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,8.4,347574,1964
53,-,Sunset Blvd. ,8.4,141759,1950
54,-, The Great Dictator,8.4,140255,1940
55,-, Das Leben der Anderen,8.4,263741,2006
56,-,Nuovo Cinema Paradiso ,8.4,155435,1988
57,-,Paths of Glory ,8.4,123048,1957
58,-,Django Unchained ,8.4,973925,2012
59,-, The Shining,8.4,620904,1980
60,-,Hotaru no haka ,8.4,141940,1988
61,-,WALLÂ·E ,8.4,731558,2008
62,-, The Dark Knight Rises,8.4,1162813,2012
63,-,American Beauty ,8.4,834545,1999
64,-,Aliens ,8.4,495216,1986
65,-,Mononoke-hime ,8.4,226081,1997
66,-,Oldeuboi ,8.4,362914,2003
67,-,Once Upon a Time in America ,8.4,224681,1984
68,-,Citizen Kane ,8.4,302212,1941
69,-, Das Boot,8.3,170518,1981
